Normal Case: 
Case = 0
element[2] = 01101101 109
element[3] = 11101110 -18
element[4] = 00110011 51
element[5] = 01101111 111
element[6] = 00111101 61
element[7] = 01011011 91
element[8] = 11001000 -56
element[9] = 11100101 -27
element[10] = 01100110 102
element[11] = 10001110 -114
element[12] = 11001111 -49
element[13] = 00101001 41
element[14] = 10101000 -88
element[15] = 10011100 -100
element[16] = 10110000 -80
element[17] = 10000111 -121
element[18] = 11011010 -38
element[19] = 00001011 11
element[20] = 01110001 113
element[21] = 11010100 -44
element[22] = 11111110 -2
element[23] = 01000011 67
element[24] = 10110101 -75
element[25] = 01011000 88
element[26] = 10010100 -108
element[27] = 00001000 8
element[28] = 00001101 13
element[29] = 00110100 52
element[30] = 01010010 82
element[31] = 00011000 24
scale = 00011000
Case = 7
element[0] = 10111111 -65
element[1] = 00000101 5
element[2] = 11001011 -53
element[3] = 00101101 45
element[4] = 01000001 65
element[5] = 00100110 38
element[6] = 01110101 117
element[7] = 10100111 -89
element[8] = 10001100 -116
element[9] = 10000011 -125
element[10] = 01110100 116
element[11] = 00110100 52
element[12] = 00101001 41
element[13] = 10010001 -111
element[14] = 11100011 -29
element[15] = 00110000 48
element[16] = 01101001 105
element[17] = 01101101 109
element[18] = 00100001 33
element[19] = 10111101 -67
element[20] = 11101011 -21
element[21] = 01100011 99
element[22] = 01110001 113
element[23] = 01000010 66
element[24] = 01110110 118
element[25] = 11111001 -7
element[26] = 01001111 79
element[27] = 00101010 42
element[28] = 01001010 74
element[29] = 11100111 -25
element[30] = 11000010 -62
element[31] = 10001001 -119
scale = 01101010
Case = 8
element[0] = 10001101 -115
element[1] = 10110110 -74
element[2] = 10101101 -83
element[3] = 00110010 50
element[4] = 10101011 -85
element[5] = 01010010 82
element[6] = 10111101 -67
element[7] = 00101100 44
element[8] = 01000110 70
element[9] = 01110000 112
element[10] = 11010101 -43
element[11] = 11010110 -42
element[12] = 11010100 -44
element[13] = 00000100 4
element[14] = 11000000 -64
element[15] = 01000000 64
element[16] = 10100101 -91
element[17] = 01111011 123
element[18] = 10101100 -84
element[19] = 00000111 7
element[20] = 01101100 108
element[21] = 11101101 -19
element[22] = 11111101 -3
element[23] = 11100110 -26
element[24] = 10111100 -68
element[25] = 00100111 39
element[26] = 00101111 47
element[27] = 10100010 -94
element[28] = 11101000 -24
element[29] = 00111000 56
element[30] = 00001101 13
element[31] = 11110100 -12
scale = 11101100
Case = 9
element[0] = 10111001 -71
element[1] = 00100101 37
element[2] = 00010111 23
element[3] = 10001011 -117
element[4] = 01100001 97
element[5] = 11000011 -61
element[6] = 01010000 80
element[7] = 11010010 -46
element[8] = 10010111 -105
element[9] = 00100110 38
element[10] = 10100101 -91
element[11] = 00011011 27
element[12] = 01100101 101
element[13] = 01100100 100
element[14] = 10111111 -65
element[15] = 01100000 96
element[16] = 00001111 15
element[17] = 11000110 -58
element[18] = 01001101 77
element[19] = 01111100 124
element[20] = 11000010 -62
element[21] = 00110010 50
element[22] = 00110111 55
element[23] = 01101000 104
element[24] = 11100001 -31
element[25] = 11011001 -39
element[26] = 01010000 80
element[27] = 00011000 24
element[28] = 11100101 -27
element[29] = 01000011 67
element[30] = 10000101 -123
element[31] = 00011101 29
scale = 01101000
all_large_passative_elements
Case = 0
element[0] = 01101110 110
element[1] = 01101011 107
element[2] = 01100110 102
element[3] = 01110101 117
element[4] = 01100110 102
element[5] = 01111100 124
element[6] = 01100110 102
element[7] = 01110101 117
element[8] = 01111001 121
element[9] = 01111010 122
element[10] = 01101101 109
element[11] = 01101011 107
element[12] = 01110001 113
element[13] = 01110010 114
element[14] = 01111110 126
element[15] = 01111101 125
element[16] = 01110011 115
element[17] = 01111000 120
element[18] = 01111101 125
element[19] = 01101101 109
element[20] = 01111110 126
element[21] = 01101100 108
element[22] = 01110001 113
element[23] = 01101101 109
element[24] = 01101111 111
element[25] = 01111101 125
element[26] = 01101011 107
element[27] = 01111000 120
element[28] = 01101111 111
element[29] = 01110010 114
element[30] = 01101111 111
element[31] = 01101111 111
scale = 01100011
Case = 1
element[0] = 01100110 102
element[1] = 01110101 117
element[2] = 01110000 112
element[3] = 01100100 100
element[4] = 01110111 119
element[5] = 01100111 103
element[6] = 01101110 110
element[7] = 01110010 114
element[8] = 01100101 101
element[9] = 01110101 117
element[10] = 01110101 117
element[11] = 01110011 115
element[12] = 01110101 117
element[13] = 01110011 115
element[14] = 01110111 119
element[15] = 01101110 110
element[16] = 01110001 113
element[17] = 01110101 117
element[18] = 01111101 125
element[19] = 01111010 122
element[20] = 01101000 104
element[21] = 01111011 123
element[22] = 01111010 122
element[23] = 01100110 102
element[24] = 01110111 119
element[25] = 01101000 104
element[26] = 01100110 102
element[27] = 01101010 106
element[28] = 01110011 115
element[29] = 01110001 113
element[30] = 01110100 116
element[31] = 01101011 107
scale = 00011010
Case = 2
element[0] = 01100110 102
element[1] = 01101011 107
element[2] = 01110000 112
element[3] = 01111001 121
element[4] = 01101010 106
element[5] = 01110100 116
element[6] = 01111010 122
element[7] = 01111100 124
element[8] = 01101010 106
element[9] = 01100100 100
element[10] = 01100111 103
element[11] = 01111001 121
element[12] = 01110111 119
element[13] = 01100110 102
element[14] = 01111100 124
element[15] = 01101110 110
element[16] = 01100101 101
element[17] = 01101100 108
element[18] = 01100111 103
element[19] = 01111100 124
element[20] = 01110111 119
element[21] = 01111001 121
element[22] = 01110101 117
element[23] = 01111100 124
element[24] = 01111011 123
element[25] = 01110000 112
element[26] = 01110000 112
element[27] = 01111110 126
element[28] = 01100110 102
element[29] = 01110111 119
element[30] = 01110111 119
element[31] = 01101000 104
scale = 01101100
all_large_negative_elements
Case = 0
element[0] = 10010101 -107
element[1] = 10001111 -113
element[2] = 10010111 -105
element[3] = 10001010 -118
element[4] = 10001010 -118
element[5] = 10001001 -119
element[6] = 10000101 -123
element[7] = 10011010 -102
element[8] = 10001100 -116
element[9] = 10010000 -112
element[10] = 10010011 -109
element[11] = 10001110 -114
element[12] = 10001101 -115
element[13] = 10010010 -110
element[14] = 10000100 -124
element[15] = 10001010 -118
element[16] = 10010101 -107
element[17] = 10010010 -110
element[18] = 10000010 -126
element[19] = 10001111 -113
element[20] = 10011000 -104
element[21] = 10011010 -102
element[22] = 10011011 -101
element[23] = 10001001 -119
element[24] = 10000001 -127
element[25] = 10011010 -102
element[26] = 10001011 -117
element[27] = 10001001 -119
element[28] = 10010010 -110
element[29] = 10000100 -124
element[30] = 10011001 -103
element[31] = 10001100 -116
scale = 10000011
Case = 1
element[0] = 10001001 -119
element[1] = 10001010 -118
element[2] = 10010001 -111
element[3] = 10000110 -122
element[4] = 10001111 -113
element[5] = 10001111 -113
element[6] = 10010001 -111
element[7] = 10000011 -125
element[8] = 10010110 -106
element[9] = 10010011 -109
element[10] = 10000100 -124
element[11] = 10001100 -116
element[12] = 10010111 -105
element[13] = 10001101 -115
element[14] = 10010101 -107
element[15] = 10000010 -126
element[16] = 10000011 -125
element[17] = 10001000 -120
element[18] = 10011001 -103
element[19] = 10000010 -126
element[20] = 10001000 -120
element[21] = 10000110 -122
element[22] = 10010010 -110
element[23] = 10010110 -106
element[24] = 10000110 -122
element[25] = 10011010 -102
element[26] = 10001101 -115
element[27] = 10001001 -119
element[28] = 10001100 -116
element[29] = 10001101 -115
element[30] = 10010000 -112
element[31] = 10010100 -108
scale = 10000100
Case = 2
element[0] = 10010101 -107
element[1] = 10011001 -103
element[2] = 10011001 -103
element[3] = 10011000 -104
element[4] = 10000011 -125
element[5] = 10011011 -101
element[6] = 10010011 -109
element[7] = 10010110 -106
element[8] = 10010011 -109
element[9] = 10010011 -109
element[10] = 10000110 -122
element[11] = 10000100 -124
element[12] = 10001101 -115
element[13] = 10000111 -121
element[14] = 10000111 -121
element[15] = 10001001 -119
element[16] = 10000100 -124
element[17] = 10011000 -104
element[18] = 10010000 -112
element[19] = 10011001 -103
element[20] = 10001110 -114
element[21] = 10001011 -117
element[22] = 10000011 -125
element[23] = 10001100 -116
element[24] = 10001100 -116
element[25] = 10000001 -127
element[26] = 10011000 -104
element[27] = 10011000 -104
element[28] = 10000101 -123
element[29] = 10000101 -123
element[30] = 10000111 -121
element[31] = 10011001 -103
scale = 00001001
large_scale_elements
Case = 0
element[0] = 11011100 -36
element[1] = 11101100 -20
element[2] = 11111100 -4
element[3] = 00001100 12
element[4] = 00011101 29
element[5] = 01111011 123
element[6] = 10010010 -110
element[7] = 11110100 -12
element[8] = 10100101 -91
element[9] = 01110001 113
element[10] = 10001100 -116
element[11] = 11101000 -24
element[12] = 00101101 45
element[13] = 01001011 75
element[14] = 10100001 -95
element[15] = 11001101 -51
element[16] = 10110111 -73
element[17] = 11100101 -27
element[18] = 00101000 40
element[19] = 10110011 -77
element[20] = 10111010 -70
element[21] = 10101000 -88
element[22] = 10100100 -92
element[23] = 10100011 -93
element[24] = 00100000 32
element[25] = 11001011 -53
element[26] = 10100100 -92
element[27] = 00000100 4
element[28] = 01110110 118
element[29] = 00111000 56
element[30] = 10001101 -115
element[31] = 01010001 81
scale = 11110001
Case = 1
element[0] = 00001001 9
element[1] = 01011101 93
element[2] = 11000001 -63
element[3] = 00000100 4
element[4] = 01101110 110
element[5] = 10110100 -76
element[6] = 10101001 -87
element[7] = 11011111 -33
element[8] = 10111111 -65
element[9] = 10010000 -112
element[10] = 00001100 12
element[11] = 00001010 10
element[12] = 10110001 -79
element[13] = 01011000 88
element[14] = 11000000 -64
element[15] = 00010101 21
element[16] = 00000001 1
element[17] = 11110010 -14
element[18] = 11001110 -50
element[19] = 10101000 -88
element[20] = 00010101 21
element[21] = 11110001 -15
element[22] = 01000111 71
element[23] = 01011111 95
element[24] = 10010100 -108
element[25] = 01001010 74
element[26] = 11010101 -43
element[27] = 11001100 -52
element[28] = 01010111 87
element[29] = 10100111 -89
element[30] = 01101111 111
element[31] = 11100000 -32
scale = 11111011
Case = 2
element[0] = 00101111 47
element[1] = 11100011 -29
element[2] = 11110001 -15
element[3] = 01100011 99
element[4] = 00001011 11
element[5] = 11001111 -49
element[6] = 00100001 33
element[7] = 00011011 27
element[8] = 01011010 90
element[9] = 00101010 42
element[10] = 11001011 -53
element[11] = 00110011 51
element[12] = 01101001 105
element[13] = 11011111 -33
element[14] = 00110011 51
element[15] = 01011010 90
element[16] = 00101100 44
element[17] = 01011010 90
element[18] = 01101110 110
element[19] = 00011100 28
element[20] = 10100001 -95
element[21] = 11001101 -51
element[22] = 10110000 -80
element[23] = 11101010 -22
element[24] = 00100010 34
element[25] = 11111011 -5
element[26] = 11000001 -63
element[27] = 11001000 -56
element[28] = 01101001 105
element[29] = 10100000 -96
element[30] = 01001010 74
element[31] = 00011000 24
scale = 11111000
small_scale__elements
Case = 0
element[0] = 11011011 -37
element[1] = 10000101 -123
element[2] = 00001000 8
element[3] = 10001110 -114
element[4] = 10101001 -87
element[5] = 00010011 19
element[6] = 10000111 -121
element[7] = 11100001 -31
element[8] = 11010011 -45
element[9] = 10100000 -96
element[10] = 10000101 -123
element[11] = 00001110 14
element[12] = 11101001 -23
element[13] = 10010011 -109
element[14] = 11010001 -47
element[15] = 11100011 -29
element[16] = 11001101 -51
element[17] = 11000111 -57
element[18] = 11101100 -20
element[19] = 10001101 -115
element[20] = 11110011 -13
element[21] = 11001001 -55
element[22] = 11010001 -47
element[23] = 00000100 4
element[24] = 00010001 17
element[25] = 10011011 -101
element[26] = 10101100 -84
element[27] = 11000100 -60
element[28] = 10011110 -98
element[29] = 10110101 -75
element[30] = 00001100 12
element[31] = 11111000 -8
scale = 00000111
Case = 1
element[0] = 11011000 -40
element[1] = 11100101 -27
element[2] = 11100001 -31
element[3] = 10101110 -82
element[4] = 11001010 -54
element[5] = 10000110 -122
element[6] = 00000001 1
element[7] = 11101001 -23
element[8] = 10001010 -118
element[9] = 11010010 -46
element[10] = 10010101 -107
element[11] = 00010110 22
element[12] = 10000111 -121
element[13] = 11010110 -42
element[14] = 11000111 -57
element[15] = 10101101 -83
element[16] = 10000101 -123
element[17] = 11010100 -44
element[18] = 10000100 -124
element[19] = 10101100 -84
element[20] = 00000011 3
element[21] = 11100111 -25
element[22] = 10100001 -95
element[23] = 10000011 -125
element[24] = 11110001 -15
element[25] = 11100101 -27
element[26] = 00011010 26
element[27] = 10001010 -118
element[28] = 10110100 -76
element[29] = 11110111 -9
element[30] = 11000011 -61
element[31] = 00001011 11
scale = 00001111
Case = 2
element[0] = 00000010 2
element[1] = 10011110 -98
element[2] = 11101000 -24
element[3] = 00000111 7
element[4] = 10000011 -125
element[5] = 10110101 -75
element[6] = 11101111 -17
element[7] = 11010100 -44
element[8] = 10101000 -88
element[9] = 11101010 -22
element[10] = 10111010 -70
element[11] = 11111101 -3
element[12] = 00001111 15
element[13] = 11100110 -26
element[14] = 11100000 -32
element[15] = 10100110 -90
element[16] = 11001000 -56
element[17] = 00001011 11
element[18] = 10001110 -114
element[19] = 10010011 -109
element[20] = 00001011 11
element[21] = 10010000 -112
element[22] = 00000100 4
element[23] = 10110011 -77
element[24] = 10001110 -114
element[25] = 11101100 -20
element[26] = 11100110 -26
element[27] = 11100011 -29
element[28] = 00001101 13
element[29] = 11010110 -42
element[30] = 00000001 1
element[31] = 11110100 -12
scale = 00001000
subnormal_edge
Case = 0
element[0] = 11111100 -4
element[1] = 11111101 -3
element[2] = 11111010 -6
element[3] = 11111010 -6
element[4] = 11111011 -5
element[5] = 11111010 -6
element[6] = 11111101 -3
element[7] = 11111011 -5
element[8] = 11111001 -7
element[9] = 11111011 -5
element[10] = 11111101 -3
element[11] = 11111111 -1
element[12] = 11111101 -3
element[13] = 11111111 -1
element[14] = 11110111 -9
element[15] = 11111111 -1
element[16] = 11111000 -8
element[17] = 11111100 -4
element[18] = 11111000 -8
element[19] = 11111001 -7
element[20] = 11111000 -8
element[21] = 11111010 -6
element[22] = 11110111 -9
element[23] = 11110111 -9
element[24] = 11111000 -8
element[25] = 11111010 -6
element[26] = 11111001 -7
element[27] = 11111100 -4
element[28] = 11110111 -9
element[29] = 11110111 -9
element[30] = 11110111 -9
element[31] = 11111101 -3
scale = 00000100
Case = 1
element[0] = 11111000 -8
element[1] = 11111110 -2
element[2] = 11110111 -9
element[3] = 11111100 -4
element[4] = 11111100 -4
element[5] = 11111011 -5
element[6] = 11111100 -4
element[7] = 11110111 -9
element[8] = 11111000 -8
element[9] = 11111010 -6
element[10] = 11111100 -4
element[11] = 11111110 -2
element[12] = 11111000 -8
element[13] = 11111001 -7
element[14] = 11111111 -1
element[15] = 11111101 -3
element[16] = 11111010 -6
element[17] = 11111000 -8
element[18] = 11111111 -1
element[19] = 11111011 -5
element[20] = 11110111 -9
element[21] = 11111101 -3
element[22] = 11111100 -4
element[23] = 11111010 -6
element[24] = 11111101 -3
element[25] = 11110111 -9
element[26] = 11111000 -8
element[27] = 11111110 -2
element[28] = 11110111 -9
element[29] = 11111100 -4
element[30] = 11111010 -6
element[31] = 11111001 -7
scale = 00000110
Case = 2
element[0] = 11111000 -8
element[1] = 11111100 -4
element[2] = 11110111 -9
element[3] = 11111010 -6
element[4] = 11111111 -1
element[5] = 11111110 -2
element[6] = 11111011 -5
element[7] = 11111001 -7
element[8] = 11111000 -8
element[9] = 11111010 -6
element[10] = 11111010 -6
element[11] = 11111010 -6
element[12] = 11110111 -9
element[13] = 11111111 -1
element[14] = 11111101 -3
element[15] = 11110111 -9
element[16] = 11111110 -2
element[17] = 11111111 -1
element[18] = 11110111 -9
element[19] = 11111011 -5
element[20] = 11111100 -4
element[21] = 11111000 -8
element[22] = 11111000 -8
element[23] = 11111100 -4
element[24] = 11111001 -7
element[25] = 11111101 -3
element[26] = 11111010 -6
element[27] = 11111111 -1
element[28] = 11111110 -2
element[29] = 11111010 -6
element[30] = 11111010 -6
element[31] = 11111101 -3
scale = 00000110
Case = 3
element[0] = 11111000 -8
element[1] = 11110111 -9
element[2] = 11111101 -3
element[3] = 11111101 -3
element[4] = 11111100 -4
element[5] = 11111101 -3
element[6] = 11111111 -1
element[7] = 11111101 -3
element[8] = 11111111 -1
element[9] = 11111001 -7
element[10] = 11111101 -3
element[11] = 11111110 -2
element[12] = 11111110 -2
element[13] = 11111011 -5
element[14] = 11111010 -6
element[15] = 11111101 -3
element[16] = 11111011 -5
element[17] = 11111100 -4
element[18] = 11110111 -9
element[19] = 11111100 -4
element[20] = 11111011 -5
element[21] = 11111010 -6
element[22] = 11111111 -1
element[23] = 11110111 -9
element[24] = 11111110 -2
element[25] = 11111100 -4
element[26] = 11111110 -2
element[27] = 11111000 -8
element[28] = 11111111 -1
element[29] = 11111100 -4
element[30] = 11111111 -1
element[31] = 11111110 -2
scale = 00000011
Case = 4
element[0] = 11111010 -6
element[1] = 11111011 -5
element[2] = 11111111 -1
element[3] = 11111110 -2
element[4] = 11111010 -6
element[5] = 11111010 -6
element[6] = 11111101 -3
element[7] = 11111101 -3
element[8] = 11111111 -1
element[9] = 11111001 -7
element[10] = 11111011 -5
element[11] = 11111010 -6
element[12] = 11111100 -4
element[13] = 11111111 -1
element[14] = 11111111 -1
element[15] = 11111111 -1
element[16] = 11110111 -9
element[17] = 11111001 -7
element[18] = 11111011 -5
element[19] = 11111010 -6
element[20] = 11111000 -8
element[21] = 11111011 -5
element[22] = 11111000 -8
element[23] = 11111101 -3
element[24] = 11110111 -9
element[25] = 11111000 -8
element[26] = 11111010 -6
element[27] = 11111010 -6
element[28] = 11111110 -2
element[29] = 11111000 -8
element[30] = 11111110 -2
element[31] = 11111111 -1
scale = 00000011
positive_overflow
Case = 0
element[0] = 01111110 126
element[1] = 01111011 123
element[2] = 01111100 124
element[3] = 01111110 126
element[4] = 01111011 123
element[5] = 01111100 124
element[6] = 01111011 123
element[7] = 01111010 122
element[8] = 01111010 122
element[9] = 01111010 122
element[10] = 01111100 124
element[11] = 01111100 124
element[12] = 01111100 124
element[13] = 01111110 126
element[14] = 01111001 121
element[15] = 01111100 124
element[16] = 01111011 123
element[17] = 01111000 120
element[18] = 01111001 121
element[19] = 01111001 121
element[20] = 01111000 120
element[21] = 01111001 121
element[22] = 01111000 120
element[23] = 01111010 122
element[24] = 01111010 122
element[25] = 01111110 126
element[26] = 01111010 122
element[27] = 01111101 125
element[28] = 01111001 121
element[29] = 01111101 125
element[30] = 01111000 120
element[31] = 01111001 121
scale = 11111100
Case = 1
element[0] = 01111100 124
element[1] = 01111101 125
element[2] = 01111010 122
element[3] = 01111000 120
element[4] = 01111001 121
element[5] = 01111101 125
element[6] = 01111000 120
element[7] = 01111001 121
element[8] = 01111010 122
element[9] = 01111010 122
element[10] = 01111110 126
element[11] = 01111110 126
element[12] = 01111011 123
element[13] = 01111011 123
element[14] = 01111011 123
element[15] = 01111010 122
element[16] = 01111010 122
element[17] = 01111100 124
element[18] = 01111010 122
element[19] = 01111001 121
element[20] = 01111010 122
element[21] = 01111100 124
element[22] = 01111100 124
element[23] = 01111000 120
element[24] = 01111100 124
element[25] = 01111000 120
element[26] = 01111001 121
element[27] = 01111000 120
element[28] = 01111000 120
element[29] = 01111000 120
element[30] = 01111001 121
element[31] = 01111010 122
scale = 11111010
Case = 2
element[0] = 01111010 122
element[1] = 01111000 120
element[2] = 01111100 124
element[3] = 01111101 125
element[4] = 01111001 121
element[5] = 01111110 126
element[6] = 01111101 125
element[7] = 01111011 123
element[8] = 01111101 125
element[9] = 01111100 124
element[10] = 01111101 125
element[11] = 01111001 121
element[12] = 01111101 125
element[13] = 01111000 120
element[14] = 01111001 121
element[15] = 01111001 121
element[16] = 01111010 122
element[17] = 01111011 123
element[18] = 01111011 123
element[19] = 01111100 124
element[20] = 01111000 120
element[21] = 01111001 121
element[22] = 01111110 126
element[23] = 01111000 120
element[24] = 01111011 123
element[25] = 01111110 126
element[26] = 01111101 125
element[27] = 01111001 121
element[28] = 01111000 120
element[29] = 01111101 125
element[30] = 01111000 120
element[31] = 01111000 120
scale = 11111010
negative_overflow
Case = 0
element[0] = 10000101 -123
element[1] = 10000110 -122
element[2] = 10000110 -122
element[3] = 10000010 -126
element[4] = 10000100 -124
element[5] = 10000111 -121
element[6] = 10000111 -121
element[7] = 10000111 -121
element[8] = 10000101 -123
element[9] = 10000110 -122
element[10] = 10000101 -123
element[11] = 10000101 -123
element[12] = 10000001 -127
element[13] = 10000110 -122
element[14] = 10000101 -123
element[15] = 10000010 -126
element[16] = 10000001 -127
element[17] = 10000111 -121
element[18] = 10000010 -126
element[19] = 10000010 -126
element[20] = 10000110 -122
element[21] = 10000111 -121
element[22] = 10000011 -125
element[23] = 10000101 -123
element[24] = 10000011 -125
element[25] = 10000101 -123
element[26] = 10000100 -124
element[27] = 10000110 -122
element[28] = 10000011 -125
element[29] = 10000100 -124
element[30] = 10000101 -123
element[31] = 10000111 -121
scale = 11111101
Case = 1
element[0] = 10000001 -127
element[1] = 10000111 -121
element[2] = 10000010 -126
element[3] = 10000001 -127
element[4] = 10000110 -122
element[5] = 10000001 -127
element[6] = 10000101 -123
element[7] = 10000011 -125
element[8] = 10000100 -124
element[9] = 10000001 -127
element[10] = 10000001 -127
element[11] = 10000010 -126
element[12] = 10000101 -123
element[13] = 10000010 -126
element[14] = 10000010 -126
element[15] = 10000011 -125
element[16] = 10000011 -125
element[17] = 10000010 -126
element[18] = 10000001 -127
element[19] = 10000111 -121
element[20] = 10000100 -124
element[21] = 10000110 -122
element[22] = 10000010 -126
element[23] = 10000001 -127
element[24] = 10000111 -121
element[25] = 10000101 -123
element[26] = 10000001 -127
element[27] = 10000011 -125
element[28] = 10000011 -125
element[29] = 10000110 -122
element[30] = 10000001 -127
element[31] = 10000001 -127
scale = 11111011
Case = 2
element[0] = 10000011 -125
element[1] = 10000001 -127
element[2] = 10000001 -127
element[3] = 10000001 -127
element[4] = 10000100 -124
element[5] = 10000011 -125
element[6] = 10000100 -124
element[7] = 10000100 -124
element[8] = 10000011 -125
element[9] = 10000100 -124
element[10] = 10000110 -122
element[11] = 10000100 -124
element[12] = 10000011 -125
element[13] = 10000001 -127
element[14] = 10000100 -124
element[15] = 10000100 -124
element[16] = 10000111 -121
element[17] = 10000011 -125
element[18] = 10000001 -127
element[19] = 10000011 -125
element[20] = 10000010 -126
element[21] = 10000110 -122
element[22] = 10000010 -126
element[23] = 10000111 -121
element[24] = 10000111 -121
element[25] = 10000010 -126
element[26] = 10000111 -121
element[27] = 10000101 -123
element[28] = 10000011 -125
element[29] = 10000101 -123
element[30] = 10000111 -121
element[31] = 10000011 -125
scale = 11111010
